Position,M_D_YYYY,TIME[HH:mm:ss],CO2[ppm],Temp[C],RH[%]
1,1/6/2020,09:39:10,985,17.8,57.9
2,1/6/2020,09:39:15,985,17.8,57.7
3,1/6/2020,09:39:20,985,17.9,57.1
4,1/6/2020,09:39:25,984,17.9,56.4
5,1/6/2020,09:39:30,980,17.9,55.8
6,1/6/2020,09:39:35,971,18.0,55.3
7,1/6/2020,09:39:40,878,18.0,54.9
8,1/6/2020,09:39:45,841,18.0,54.5
9,1/6/2020,09:39:50,839,18.0,54.2
10,1/6/2020,09:39:55,839,18.0,53.9
11,1/6/2020,09:40:00,833,18.0,53.7
12,1/6/2020,09:40:05,803,18.1,53.4
13,1/6/2020,09:40:10,803,18.1,53.2
14,1/6/2020,09:40:15,804,18.1,53.1
15,1/6/2020,09:40:20,804,18.1,53.0
16,1/6/2020,09:40:25,804,18.1,52.8
17,1/6/2020,09:40:30,804,18.1,52.7
18,1/6/2020,09:40:35,803,18.1,52.6
19,1/6/2020,09:40:40,801,18.1,52.5
20,1/6/2020,09:40:45,801,18.1,52.4
21,1/6/2020,09:40:50,800,18.1,52.4
22,1/6/2020,09:40:55,799,18.1,52.3
23,1/6/2020,09:41:00,798,18.1,52.2
24,1/6/2020,09:41:05,798,18.1,52.2
25,1/6/2020,09:41:10,797,18.1,52.1
26,1/6/2020,09:41:15,798,18.1,52.1
27,1/6/2020,09:41:20,798,18.1,52.1
28,1/6/2020,09:41:25,798,18.1,52.0
29,1/6/2020,09:41:30,799,18.1,52.0
30,1/6/2020,09:41:35,799,18.0,52.0
31,1/6/2020,09:41:40,800,18.0,52.0
32,1/6/2020,09:41:45,800,18.0,51.9
33,1/6/2020,09:41:50,801,18.0,51.9
34,1/6/2020,09:41:55,802,18.0,51.9
35,1/6/2020,09:42:00,805,18.0,51.9
36,1/6/2020,09:42:05,841,18.0,51.9
37,1/6/2020,09:42:10,841,18.0,51.9
38,1/6/2020,09:42:15,841,18.0,51.9
39,1/6/2020,09:42:20,842,18.0,51.9
40,1/6/2020,09:42:25,842,18.0,51.9
41,1/6/2020,09:42:30,842,18.0,51.9
42,1/6/2020,09:42:35,842,17.9,51.9
43,1/6/2020,09:42:40,842,17.9,51.9
44,1/6/2020,09:42:45,841,17.9,51.9
45,1/6/2020,09:42:50,841,17.9,51.9
46,1/6/2020,09:42:55,840,17.9,51.9
47,1/6/2020,09:43:00,840,17.9,52.0
48,1/6/2020,09:43:05,840,17.9,52.0
49,1/6/2020,09:43:10,839,17.9,52.0
50,1/6/2020,09:43:15,839,17.9,52.0
51,1/6/2020,09:43:20,839,17.9,52.0
52,1/6/2020,09:43:25,839,17.9,52.0
53,1/6/2020,09:43:30,840,17.8,52.0
54,1/6/2020,09:43:35,842,17.8,52.0
55,1/6/2020,09:43:40,842,17.8,52.0
56,1/6/2020,09:43:45,857,17.8,52.1
57,1/6/2020,09:43:50,858,17.8,52.1
58,1/6/2020,09:43:55,864,17.8,52.1
59,1/6/2020,09:44:00,861,17.8,52.1
60,1/6/2020,09:44:05,862,17.8,52.1
61,1/6/2020,09:44:10,860,17.8,52.1
62,1/6/2020,09:44:15,861,17.8,52.2
63,1/6/2020,09:44:20,862,17.8,52.2
